DATE_TIME,HIGH,LOW,OPEN,CLOSE
2018.07.30 10:00:00,1.5233,1.52217,1.52293,1.52251
2018.07.30 10:15:00,1.52297,1.52231,1.5225,1.52277
2018.07.30 10:30:00,1.52358,1.52256,1.52277,1.5235
2018.07.30 10:45:00,1.52431,1.52322,1.52351,1.52403
2018.07.30 11:00:00,1.52469,1.52391,1.52402,1.5241
2018.07.30 11:15:00,1.52474,1.52401,1.5241,1.52422
2018.07.30 11:30:00,1.5252,1.5242,1.52421,1.5246
2018.07.30 11:45:00,1.5253,1.52442,1.5246,1.52527
2018.07.30 12:00:00,1.52583,1.525,1.52527,1.52537
2018.07.30 12:15:00,1.5261,1.52524,1.52538,1.52573
2018.07.30 12:30:00,1.52674,1.5255,1.52574,1.52642
2018.07.30 12:45:00,1.52657,1.52583,1.5264,1.5261
2018.07.30 13:00:00,1.52614,1.52475,1.5261,1.5248
2018.07.30 13:15:00,1.52531,1.5245,1.5248,1.5248
2018.07.30 13:30:00,1.52504,1.52441,1.5248,1.5247
2018.07.30 13:45:00,1.52483,1.5243,1.5247,1.52457
2018.07.30 14:00:00,1.5252,1.52437,1.52457,1.5247
2018.07.30 14:15:00,1.5247,1.52375,1.5247,1.524
2018.07.30 14:30:00,1.52425,1.52331,1.524,1.52343
2018.07.30 14:45:00,1.52425,1.52333,1.5235,1.52398
2018.07.30 15:00:00,1.5249,1.52397,1.52398,1.52435
2018.07.30 15:15:00,1.52454,1.5238,1.52435,1.5245
2018.07.30 15:30:00,1.52473,1.5242,1.5245,1.52462
2018.07.30 15:45:00,1.5252,1.52375,1.52462,1.5252
2018.07.30 16:00:00,1.5256,1.5246,1.5252,1.52502
2018.07.30 16:15:00,1.52563,1.52477,1.52502,1.52485
2018.07.30 16:30:00,1.52515,1.52436,1.52485,1.5246
2018.07.30 16:45:00,1.525,1.52288,1.5246,1.52291
2018.07.30 17:00:00,1.5241,1.52222,1.52291,1.52291
2018.07.30 17:15:00,1.52291,1.52164,1.52291,1.52216
2018.07.30 17:30:00,1.52277,1.52189,1.52217,1.52264
2018.07.30 17:45:00,1.52268,1.52191,1.52264,1.5221
2018.07.30 18:00:00,1.5226,1.52177,1.5221,1.52212
2018.07.30 18:15:00,1.52348,1.522,1.5221,1.52334
2018.07.30 18:30:00,1.52426,1.52323,1.52334,1.5242
2018.07.30 18:45:00,1.5251,1.52382,1.5242,1.52471
2018.07.30 19:00:00,1.52522,1.52446,1.52471,1.5249
2018.07.30 19:15:00,1.52496,1.52421,1.5249,1.52435
2018.07.30 19:30:00,1.52493,1.52397,1.52435,1.52483
2018.07.30 19:45:00,1.52522,1.52461,1.52483,1.52522
2018.07.30 20:00:00,1.52534,1.52452,1.52522,1.52464
2018.07.30 20:15:00,1.5247,1.52398,1.52464,1.52433
2018.07.30 20:30:00,1.52486,1.52381,1.52434,1.52468
2018.07.30 20:45:00,1.52516,1.52464,1.52468,1.52465
2018.07.30 21:00:00,1.52486,1.52432,1.5247,1.52441
2018.07.30 21:15:00,1.52495,1.52426,1.52441,1.52492
2018.07.30 21:30:00,1.5252,1.5248,1.52492,1.525
2018.07.30 21:45:00,1.52538,1.52445,1.525,1.52468
2018.07.30 22:00:00,1.52537,1.52464,1.52468,1.52516
2018.07.30 22:15:00,1.52527,1.52481,1.52516,1.52503
2018.07.30 22:30:00,1.52527,1.52472,1.52504,1.52483
2018.07.30 22:45:00,1.52509,1.52436,1.52483,1.52481
2018.07.30 23:00:00,1.52531,1.52481,1.52481,1.52519
2018.07.30 23:15:00,1.52544,1.5249,1.52519,1.52515
2018.07.30 23:30:00,1.52535,1.52495,1.52516,1.52535
2018.07.30 23:45:00,1.5259,1.52514,1.52535,1.52564
2018.07.31 00:00:00,1.52564,1.5252,1.5254,1.52541
2018.07.31 00:15:00,1.52569,1.52535,1.52541,1.52561
2018.07.31 00:30:00,1.52583,1.52507,1.52565,1.52516
2018.07.31 00:45:00,1.5254,1.52503,1.52516,1.52527
2018.07.31 01:00:00,1.52572,1.52522,1.52527,1.5254
2018.07.31 01:15:00,1.52551,1.52518,1.52536,1.52535
2018.07.31 01:30:00,1.52564,1.52527,1.52535,1.5255
2018.07.31 01:45:00,1.52557,1.52531,1.52548,1.52539
2018.07.31 02:00:00,1.52547,1.52513,1.52543,1.52526
2018.07.31 02:15:00,1.52537,1.5252,1.52526,1.52526
2018.07.31 02:30:00,1.52533,1.52513,1.52526,1.52526
2018.07.31 02:45:00,1.52535,1.52504,1.52525,1.52507
2018.07.31 03:00:00,1.52521,1.52471,1.52507,1.52481
2018.07.31 03:15:00,1.52529,1.5247,1.52481,1.52511
2018.07.31 03:30:00,1.5254,1.52509,1.52513,1.52523
2018.07.31 03:45:00,1.52556,1.525,1.52523,1.52544
2018.07.31 04:00:00,1.5257,1.52513,1.52544,1.52549
2018.07.31 04:15:00,1.52587,1.52516,1.52549,1.52561
2018.07.31 04:30:00,1.52586,1.5253,1.5256,1.52575
2018.07.31 04:45:00,1.52583,1.52526,1.52574,1.52538
2018.07.31 05:00:00,1.52568,1.52513,1.52538,1.5256
2018.07.31 05:15:00,1.53246,1.5256,1.5256,1.52917
2018.07.31 05:30:00,1.52936,1.52854,1.52912,1.5291
2018.07.31 05:45:00,1.52926,1.52878,1.5291,1.52879
2018.07.31 06:00:00,1.52911,1.52856,1.52876,1.5291
2018.07.31 06:15:00,1.52946,1.52897,1.5291,1.5292
2018.07.31 06:30:00,1.5297,1.52911,1.5292,1.5296
2018.07.31 06:45:00,1.5298,1.5295,1.5296,1.52951
2018.07.31 07:00:00,1.53,1.52886,1.52951,1.52943
2018.07.31 07:15:00,1.52971,1.52888,1.52943,1.52921
